Годы;Год. доб. нефти, тыс.т;Нак. доб. нефти, тыс.т;Год. доб. воды, тыс.т;Нак. доб. воды, тыс.т;Год. доб. газа, млн.м3;Нак. доб. газа, млн.м3;Дебит нефти, т/сут;Дебит воды, т/сут;Дебит жидк., т/сут;Обводнен-ность, %;по нефти;по жидкости;Пласт. давление, МПа;Забойное давление, МПа;Туст, 0С
1;6,32;6,32;8,03;8,03;0,78;0,78;17,65;22,45;40,10;55,98;123,56;54,39;12,77;5,00;26,05
2;6,81;13,12;2,77;10,80;0,85;1,63;19,03;7,75;26,79;28,95;125,07;88,87;12,24;5,00;19,39
3;6,33;19,45;2,01;12,82;0,80;2,43;17,69;5,63;23,32;24,13;125,97;95,57;11,99;5,00;17,66
4;5,92;25,37;1,65;14,46;0,75;3,18;16,56;4,60;21,16;21,74;126,90;99,31;11,79;5,00;16,58
5;5,58;30,96;1,41;15,87;0,71;3,89;15,61;3,94;19,55;20,17;127,89;102,09;11,63;5,00;15,78
6;5,24;36,20;1,26;17,13;0,68;4,57;14,66;3,51;18,17;19,33;128,92;104,01;11,48;5,00;15,08
7;4,94;41,14;1,15;18,28;0,64;5,21;13,82;3,22;17,04;18,87;130,01;105,47;11,36;5,00;14,52
8;4,67;45,81;1,07;19,35;0,61;5,83;13,05;2,98;16,03;18,62;131,19;106,77;11,24;5,00;14,02
9;4,42;50,23;1,00;20,35;0,59;6,41;12,37;2,80;15,17;18,47;132,50;108,03;11,13;5,00;13,58
10;4,17;54,41;0,94;21,29;0,56;6,97;11,66;2,63;14,29;18,39;133,86;109,24;11,02;5,00;13,14
11;3,95;58,35;0,89;22,18;0,53;7,50;11,04;2,48;13,52;18,37;135,32;110,46;10,93;5,00;12,76
12;3,75;62,10;0,84;23,02;0,51;8,02;10,47;2,36;12,83;18,36;136,89;111,75;10,84;5,00;12,41
13;3,57;65,67;0,80;23,82;0,49;8,51;9,98;2,25;12,22;18,37;138,57;113,11;10,75;5,00;12,11
14;3,39;69,05;0,77;24,59;0,48;8,99;9,47;2,14;11,61;18,44;140,73;114,79;10,67;5,00;11,80
15;3,23;72,28;0,74;25,32;0,47;9,46;9,03;2,06;11,09;18,55;145,65;118,63;10,58;5,00;11,54
16;3,09;75,37;0,71;26,03;0,47;9,93;8,63;1,98;10,61;18,69;151,22;122,96;10,51;5,00;11,31
17;2,96;78,33;0,69;26,72;0,46;10,39;8,28;1,92;10,20;18,84;156,73;127,20;10,43;5,00;11,10
18;2,83;81,16;0,66;27,38;0,46;10,85;7,91;1,85;9,77;18,98;162,14;131,36;10,35;5,00;10,88
19;2,72;83,88;0,64;28,03;0,45;11,30;7,60;1,80;9,39;19,12;167,35;135,35;10,28;5,00;10,70
20;2,61;86,49;0,62;28,65;0,45;11,75;7,30;1,74;9,05;19,26;172,33;139,14;10,21;5,00;10,52
21;2,52;89,02;0,61;29,26;0,45;12,20;7,05;1,70;8,74;19,41;177,05;142,69;10,14;5,00;10,37
22;2,42;91,44;0,59;29,85;0,44;12,64;6,77;1,65;8,42;19,58;181,56;146,02;10,07;5,00;10,21
23;2,34;93,77;0,57;30,42;0,43;13,07;6,53;1,61;8,14;19,75;185,90;149,18;10,00;5,00;10,07
24;2,25;96,03;0,56;30,98;0,43;13,50;6,30;1,57;7,87;19,93;190,14;152,24;9,93;5,00;9,93
25;2,19;98,21;0,55;31,53;0,42;13,93;6,11;1,53;7,64;20,08;194,10;155,13;9,87;5,00;9,82
26;2,11;100,32;0,53;32,07;0,42;14,34;5,90;1,49;7,39;20,22;197,93;157,90;9,81;5,00;9,70
27;2,04;102,36;0,52;32,59;0,41;14,76;5,71;1,46;7,17;20,38;201,62;160,53;9,74;5,00;9,58
28;1,98;104,34;0,51;33,10;0,41;15,16;5,53;1,43;6,96;20,53;205,12;163,00;9,68;5,00;9,48
29;1,93;106,27;0,50;33,60;0,40;15,56;5,38;1,40;6,79;20,68;208,46;165,34;9,62;5,00;9,39
30;1,86;108,13;0,49;34,09;0,39;15,96;5,21;1,37;6,59;20,84;211,68;167,57;9,56;5,00;9,29
31;1,81;109,94;0,48;34,57;0,39;16,35;5,07;1,35;6,41;20,99;214,77;169,68;9,51;5,00;9,21
32;1,76;111,71;0,47;35,05;0,38;16,73;4,93;1,32;6,25;21,15;217,69;171,64;9,45;5,00;9,13
33;1,72;113,43;0,47;35,51;0,38;17,11;4,82;1,31;6,12;21,34;221,37;174,12;9,40;5,00;9,06
34;1,67;115,10;0,46;35,97;0,38;17,49;4,68;1,29;5,96;21,55;227,36;178,36;9,34;5,00;8,98
35;1,63;116,73;0,45;36,43;0,38;17,87;4,56;1,27;5,83;21,76;233,42;182,62;9,29;5,00;8,91
36;1,59;118,32;0,45;36,88;0,38;18,25;4,44;1,25;5,70;21,97;239,35;186,78;9,24;5,00;8,85
37;1,55;119,88;0,44;37,32;0,38;18,63;4,35;1,24;5,58;22,17;245,13;190,79;9,18;5,00;8,79
38;1,52;121,39;0,44;37,75;0,38;19,01;4,24;1,22;5,45;22,33;250,54;194,59;9,13;5,00;8,73
39;1,48;122,88;0,43;38,18;0,38;19,39;4,15;1,20;5,35;22,47;255,56;198,14;9,08;5,00;8,68
40;1,45;124,33;0,42;38,61;0,38;19,77;4,06;1,19;5,25;22,61;260,50;201,61;9,04;5,00;8,63
41;1,43;125,76;0,42;39,03;0,38;20,15;3,99;1,18;5,17;22,75;265,36;204,98;8,99;5,00;8,58
42;1,39;127,15;0,41;39,44;0,38;20,53;3,90;1,16;5,05;22,91;270,09;208,22;8,94;5,00;8,53
43;1,36;128,52;0,41;39,85;0,37;20,90;3,82;1,14;4,96;23,07;274,69;211,32;8,89;5,00;8,48
